ncores,size,scalable,time
10,4800,0,27.703083
4,2400,0,4.094292
2,4800,0,50.556242
12,4800,0,27.665923
1,2400,0,12.639748
8,4800,0,27.842414
1,4800,0,100.050498
2,2400,0,5.852103
12,2400,0,3.465723
6,4800,0,28.237093
8,2400,0,3.914062
10,2400,0,3.930676
6,2400,0,4.544665
4,4800,0,32.457977
10,7200,0,92.496222
1,7200,0,341.002543
12,7200,0,92.601843
6,7200,0,94.431884
4,7200,0,109.53574
8,7200,0,93.148887
2,7200,0,170.237684
4,9600,0,272.411651
1,9600,0,824.066576
8,9600,0,219.915004
12,9600,0,217.93128
6,9600,0,222.543851
2,9600,0,402.597671
10,9600,0,218.370852
